,Gini
0,0.0
1,0.0
2,0.31649480913533656
3,0.3128400278655925
4,0.3134966548502325
5,0.32065162900158084
6,0.33089224976431986
7,0.33609511059801267
8,0.33628017825838075
9,0.33221137114686994
10,0.32660934894259863
11,0.31664617881829604
12,0.3031693468481912
13,0.2905542913192485
14,0.27769422549252043
15,0.26212761251601857
16,0.24501569194506534
17,0.2300956706877081
18,0.21621599401456126
19,0.20391716178378105
20,0.19478646028521018
21,0.18788034879218352
22,0.18149143495446773
23,0.17576604913970784
24,0.17187721109769827
25,0.1677729778362781
26,0.163895000816085
27,0.1604218492039161
28,0.15732687844570659
29,0.15409472363928534
30,0.15121232549375507
31,0.1491458793276188
32,0.14691962983506945
33,0.14485736399280646
34,0.1427766570613639
35,0.14106283627410188
36,0.13976780610904105
37,0.13756777324920266
38,0.13575095110031388
39,0.13395758266087998
40,0.13253439543235768
41,0.13081653142318073
42,0.12958574092446062
43,0.1279076165676526
44,0.12639654652302967
45,0.12497185821502899
46,0.12360665851389063
47,0.12253170888908105
48,0.12142301511461073
49,0.12023801070101536
50,0.11942309649488281
51,0.11859786113916426
52,0.11784352034779044
53,0.1171269621632619
54,0.11642340226862291
55,0.1157746697084322
56,0.11532424029404842
57,0.11456488438299584
58,0.11413890190589748
59,0.11366610690662449
60,0.11324293432765487
61,0.1127949526576838
62,0.11219766165949974
63,0.11175699643124459
64,0.11129137334847494
65,0.11095167448391774
66,0.11061039698770048
67,0.1101380726724841
68,0.1097604377435829
69,0.10937118048227512
70,0.10895099883277226
71,0.1085850886845946
72,0.10825207218717414
73,0.10796417160025584
74,0.10770428311907643
75,0.10745503811696433
76,0.10725821113130096
77,0.10704131910052872
78,0.1068748858009616
79,0.10674864655349103
80,0.10659731651259619
81,0.1064569909850257
82,0.10637029089697903
83,0.10622498871465258
84,0.1061092966118442
85,0.1059744089237995
86,0.1058798751179083
87,0.10579678307092244
88,0.10571146039760071
89,0.10564716983038502
90,0.10556604941658365
91,0.10549872042451114
92,0.10542485705968363
93,0.1053937152710176
94,0.10532322360377833
95,0.10529406814982123
96,0.10525370936265366
97,0.10521799531029019
98,0.10518682202325336
99,0.10514335826786914
100,0.10511767799979221
101,0.10508762696916263
102,0.10506762651591572
103,0.10504300633183206
104,0.10501680252238554
105,0.10499768217290761
106,0.10497656865562854
107,0.1049589247104824
108,0.10494402251012347
109,0.10492651935180641
110,0.10491194891237265
111,0.10489644935787856
112,0.10488591063473074
113,0.10487570420194137
114,0.10486706983392347
115,0.10485801071293366
116,0.10485029938002899
117,0.10484085058972892
118,0.10483486278966825
119,0.10482834956760179
120,0.10482028346978178
121,0.1048127741422572
122,0.10480567171701405
123,0.10480132577464008
124,0.10479654441025332
125,0.10479215484527915
